,PlayerName,Team,Age,Country,DraftYear,GP,PTS,REB,AST
89,Jason Caffey,CHI,24,USA,1995,75,7.3,4,1.2
90,Jason Kidd,PHX,24,USA,1994,55,10.9,4.5,9
91,Jason Sasser,DAL,23,USA,1996,8,2.4,1,0.3
92,Jayson Williams,NJN,29,USA,1990,41,13.4,13.5,1.2
93,Jeff Grayer,SAC,31,USA,1988,25,3.6,1.5,1
94,Jeff Hornacek,UTA,34,USA,1986,82,14.5,2.9,4.4
95,Hersey Hawkins,SEA,30,USA,1988,82,13.9,3.9,3
96,Eddie Jones,LAL,25,USA,1994,80,17.2,4.1,3.4
97,Eddie Johnson,HOU,38,USA,1981,52,8.2,2.7,1
98,Ed Pinckney,MIA,34,USA,1985,27,2.4,2.4,0.2

99,Chris Jent,NYK,27,USA,Undrafted,3,2,0.3,0.3

